title,category,price_gbp,price_inr,rating,in_stock
A Light in the Attic,"
Poetry
",,,3,True
Tipping the Velvet,"
Historical Fiction
",,,1,True
Soumission,"
Fiction
",,,1,True
Sharp Objects,"
Mystery
",,,4,True
Sapiens: A Brief History of Humankind,"
History
",,,5,True
The Requiem Red,"
Young Adult
",,,1,True
The Dirty Little Secrets of Getting Your Dream Job,"
Business
",,,4,True
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","
Default
",,,3,True
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,"
Default
",,,4,True
The Black Maria,"
Poetry
",,,1,True
"Starving Hearts (Triangular Trade Trilogy, #1)","
Default
",,,2,True
Shakespeare's Sonnets,"
Poetry
",,,4,True
Set Me Free,"
Young Adult
",,,5,True
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),"
Sequential Art
",,,5,True
Rip it Up and Start Again,"
Music
",,,5,True
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991","
Music
",,,3,True
Olio,"
Poetry
",,,1,True
Mesaerion: The Best Science Fiction Stories 1800-1849,"
Science Fiction
",,,1,True
Libertarianism for Beginners,"
Politics
",,,2,True
It's Only the Himalayas,"
Travel
",,,2,True
In Her Wake,"
Thriller
",,,1,True
How Music Works,"
Music
",,,2,True
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More","
Food and Drink
",,,3,True
Chase Me (Paris Nights #2),"
Romance
",,,5,True
Black Dust,"
Romance
",,,5,True
Birdsong: A Story in Pictures,"
Childrens
",,,3,True
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,"
Default
",,,3,True
Aladdin and His Wonderful Lamp,"
Default
",,,3,True
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,"
Nonfiction
",,,5,True
Wall and Piece,"
Art
",,,4,True
The Four Agreements: A Practical Guide to Personal Freedom,"
Spirituality
",,,5,True
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,"
Nonfiction
",,,3,True
The Elephant Tree,"
Thriller
",,,5,True
The Bear and the Piano,"
Childrens
",,,1,True
Sophie's World,"
Philosophy
",,,5,True
Penny Maybe,"
Default
",,,3,True
Maude (1883-1993):She Grew Up with the country,"
Default
",,,2,True
"In a Dark, Dark Wood","
Mystery
",,,1,True
Behind Closed Doors,"
Thriller
",,,4,True
You can't bury them all: Poems,"
Poetry
",,,2,True
Slow States of Collapse: Poems,"
Poetry
",,,3,True
Reasons to Stay Alive,"
Nonfiction
",,,2,True
Private Paris (Private #10),"
Fiction
",,,5,True
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,"
Nonfiction
",,,5,True
Without Borders (Wanderlove #1),"
New Adult
",,,2,True
When We Collided,"
Contemporary
",,,1,True
"We Love You, Charlie Freeman","
Fiction
",,,5,True
Untitled Collection: Sabbath Poems 2014,"
Poetry
",,,4,True
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness","
Nonfiction
",,,4,True
Unicorn Tracks,"
Fantasy
",,,3,True
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink","
History
",,,1,True
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),"
Sequential Art
",,,1,True
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,"
Nonfiction
",,,3,True
This One Summer,"
Sequential Art
",,,4,True
Thirst,"
Fiction
",,,5,True
The Torch Is Passed: A Harding Family Story,"
Add a comment
",,,1,True
The Secret of Dreadwillow Carse,"
Childrens
",,,1,True
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!","
Food and Drink
",,,1,True
The Past Never Ends,"
Mystery
",,,4,True
The Natural History of Us (The Fine Art of Pretending #2),"
Young Adult
",,,3,True
The Nameless City (The Nameless City #1),"
Sequential Art
",,,4,True
The Murder That Never Was (Forensic Instincts #5),"
Fiction
",,,3,True
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,"
Science
",,,4,True
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy","
Add a comment
",,,4,True
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,"
Nonfiction
",,,3,True
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer","
Default
",,,5,True
The Gutsy Girl: Escapades for Your Life of Epic Adventure,"
Nonfiction
",,,1,True
The Electric Pencil: Drawings from Inside State Hospital No. 3,"
Nonfiction
",,,1,True
The Death of Humanity: and the Case for Life,"
Philosophy
",,,4,True
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life","
Health
",,,3,True
The Art Forger,"
Add a comment
",,,3,True
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,"
History
",,,1,True
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,"
Spirituality
",,,5,True
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,"
Nonfiction
",,,4,True
Soul Reader,"
Default
",,,2,True
Security,"
Horror
",,,2,True
"Saga, Volume 6 (Saga (Collected Editions) #6)","
Fantasy
",,,3,True
"Saga, Volume 5 (Saga (Collected Editions) #5)","
Sequential Art
",,,2,True
Reskilling America: Learning to Labor in the Twenty-First Century,"
Nonfiction
",,,2,True
