title,category_name,rating,price_inr
Sapiens: A Brief History of Humankind,"
History
",5,
Set Me Free,"
Young Adult
",5,
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),"
Sequential Art
",5,
Rip it Up and Start Again,"
Music
",5,
Chase Me (Paris Nights #2),"
Romance
",5,
Black Dust,"
Romance
",5,
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,"
Nonfiction
",5,
The Four Agreements: A Practical Guide to Personal Freedom,"
Spirituality
",5,
The Elephant Tree,"
Thriller
",5,
Sophie's World,"
Philosophy
",5,
Private Paris (Private #10),"
Fiction
",5,
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,"
Nonfiction
",5,
"We Love You, Charlie Freeman","
Fiction
",5,
Thirst,"
Fiction
",5,
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer","
Default
",5,
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,"
Spirituality
",5,
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)","
Sequential Art
",5,
Princess Between Worlds (Wide-Awake Princess #5),"
Fantasy
",5,
Join,"
Science Fiction
",5,
Sharp Objects,"
Mystery
",4,
The Dirty Little Secrets of Getting Your Dream Job,"
Business
",4,
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,"
Default
",4,
Shakespeare's Sonnets,"
Poetry
",4,
Wall and Piece,"
Art
",4,
Behind Closed Doors,"
Thriller
",4,
Untitled Collection: Sabbath Poems 2014,"
Poetry
",4,
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness","
Nonfiction
",4,
This One Summer,"
Sequential Art
",4,
The Past Never Ends,"
Mystery
",4,
The Nameless City (The Nameless City #1),"
Sequential Art
",4,
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,"
Science
",4,
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy","
Add a comment
",4,
The Death of Humanity: and the Case for Life,"
Philosophy
",4,
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,"
Nonfiction
",4,
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)","
Sequential Art
",4,
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed","
Food and Drink
",4,
In the Country We Love: My Family Divided,"
Nonfiction
",4,
A Light in the Attic,"
Poetry
",3,
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","
Default
",3,
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991","
Music
",3,
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More","
Food and Drink
",3,
Birdsong: A Story in Pictures,"
Childrens
",3,
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,"
Default
",3,
Aladdin and His Wonderful Lamp,"
Default
",3,
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,"
Nonfiction
",3,
Penny Maybe,"
Default
",3,
Slow States of Collapse: Poems,"
Poetry
",3,
Unicorn Tracks,"
Fantasy
",3,
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,"
Nonfiction
",3,
The Natural History of Us (The Fine Art of Pretending #2),"
Young Adult
",3,
The Murder That Never Was (Forensic Instincts #5),"
Fiction
",3,
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,"
Nonfiction
",3,
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life","
Health
",3,
The Art Forger,"
Add a comment
",3,
"Saga, Volume 6 (Saga (Collected Editions) #6)","
Fantasy
",3,
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)","
Sequential Art
",3,
Patience,"
Sequential Art
",3,
On a Midnight Clear,"
Add a comment
",3,
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)","
Sequential Art
",3,
"Starving Hearts (Triangular Trade Trilogy, #1)","
Default
",2,
Libertarianism for Beginners,"
Politics
",2,
It's Only the Himalayas,"
Travel
",2,
How Music Works,"
Music
",2,
Maude (1883-1993):She Grew Up with the country,"
Default
",2,
You can't bury them all: Poems,"
Poetry
",2,
Reasons to Stay Alive,"
Nonfiction
",2,
Without Borders (Wanderlove #1),"
New Adult
",2,
Soul Reader,"
Default
",2,
Security,"
Horror
",2,
"Saga, Volume 5 (Saga (Collected Editions) #5)","
Sequential Art
",2,
Reskilling America: Learning to Labor in the Twenty-First Century,"
Nonfiction
",2,
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics","
History
",2,
Obsidian (Lux #1),"
Young Adult
",2,
My Paris Kitchen: Recipes and Stories,"
Food and Drink
",2,
Masks and Shadows,"
Fantasy
",2,
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)","
Sequential Art
",2,
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),"
Sequential Art
",2,
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),"
Add a comment
",2,
Tipping the Velvet,"
Historical Fiction
",1,
Soumission,"
Fiction
",1,
The Requiem Red,"
Young Adult
",1,
The Black Maria,"
Poetry
",1,
Olio,"
Poetry
",1,
Mesaerion: The Best Science Fiction Stories 1800-1849,"
Science Fiction
",1,
In Her Wake,"
Thriller
",1,
The Bear and the Piano,"
Childrens
",1,
"In a Dark, Dark Wood","
Mystery
",1,
When We Collided,"
Contemporary
",1,
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink","
History
",1,
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),"
Sequential Art
",1,
The Torch Is Passed: A Harding Family Story,"
Add a comment
",1,
The Secret of Dreadwillow Carse,"
Childrens
",1,
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!","
Food and Drink
",1,
The Gutsy Girl: Escapades for Your Life of Epic Adventure,"
Nonfiction
",1,
The Electric Pencil: Drawings from Inside State Hospital No. 3,"
Nonfiction
",1,
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,"
History
",1,
"Pop Gun War, Volume 1: Gift","
Sequential Art
",1,
orange: The Complete Collection 1 (orange: The Complete Collection #1),"
Sequential Art
",1,
Online Marketing for Busy Authors: A Step-By-Step Guide,"
Self Help
",1,
"Layered: Baking, Building, and Styling Spectacular Cakes","
Food and Drink
",1,
